Date,Count,Average_lof,Ranking_Factor
2015-04-22,228,125.887029,0.552136092
2015-04-23,230,134.422777,0.584446856
2015-04-30,229,132.36373989999998,0.578007598
2015-05-04,219,132.55066509999997,0.605254179
2015-05-06,234,138.2452872,0.590791826
2015-05-07,222,136.2843356,0.613893403
2015-05-12,223,138.92024809999998,0.622960754
2015-05-20,220,136.2537179,0.619335081
2015-05-27,235,146.95073169999998,0.6253222629999999
2015-06-09,226,142.6792054,0.631323918
2015-06-10,243,137.8109357,0.567123192
2015-06-16,210,136.94812180000002,0.652133913
2015-06-22,219,139.1531312,0.635402426
2015-06-23,217,138.7043656,0.639190625
2015-06-30,227,145.730107,0.64198285
2015-07-06,227,136.71412030000002,0.602264847
2015-07-16,231,145.6722773,0.630615919
2015-07-20,204,129.1638196,0.633155978
2015-07-23,209,132.9308234,0.6360326479999999
2015-07-29,228,141.9526518,0.62259935
2015-07-30,218,131.0018105,0.600925736
2015-08-13,211,132.2491889,0.6267734070000001
2015-08-17,210,130.52765449999998,0.621560259
2015-08-24,249,139.3694946,0.559716846
2015-08-25,234,139.812354,0.597488692
2015-08-26,218,136.40127880000003,0.625693939
2015-08-27,229,132.49562269999998,0.578583505
2015-09-08,212,123.40231010000001,0.582086368
2015-09-10,230,133.4356567,0.5801550289999999
2015-09-14,216,131.21007360000002,0.607454045
2015-09-17,216,131.3555919,0.608127741
2015-09-21,222,137.3689108,0.618778877
2015-09-23,234,132.3431932,0.565569202
2015-10-08,207,135.76453490000003,0.655867319
2015-10-13,221,146.8698592,0.664569498
2015-10-15,222,140.0118877,0.630684179
2015-10-21,216,134.68827549999997,0.623556831
2015-10-26,222,141.5070801,0.63741928
2015-10-28,213,133.8390347,0.628352276
2015-11-02,218,144.6731474,0.663638291
2015-11-03,214,147.17125349999998,0.687716138
2015-11-09,216,144.232217,0.667741746
2015-11-16,212,143.4568108,0.67668307
2015-11-24,219,145.5577264,0.664647153
2015-11-26,224,138.38808640000002,0.617803957
2015-12-07,226,132.3005224,0.585400542
2015-12-09,230,137.1966173,0.596507032
2015-12-10,230,131.7123112,0.5726622229999999
2015-12-14,232,132.2526713,0.570054618
2015-12-21,217,135.0661018,0.6224244320000001
2015-12-30,216,135.79721719999998,0.62869082
2016-01-06,226,137.34115559999998,0.607704228
2016-01-14,228,132.1155449,0.579454144
2016-01-18,213,127.12281680000001,0.596820736
2016-01-20,211,124.64508490000001,0.590734999
2016-01-27,205,125.99742490000001,0.614621585
2016-01-28,223,136.3685271,0.611518059
2016-02-01,221,127.06924479999999,0.574973958
2016-02-03,224,132.309744,0.5906685
2016-02-04,233,135.0797666,0.579741487
2016-02-10,222,134.8845996,0.607588286
2016-02-16,218,128.4204566,0.589084663
2016-02-23,216,130.87950320000002,0.605923626
2016-03-07,225,132.6578257,0.589590336
2016-03-09,224,137.2028593,0.612512765
2016-03-17,218,139.8359544,0.641449332
2016-03-22,232,140.196087,0.604293478
2016-03-23,222,134.6320629,0.6064507339999999
2016-03-30,221,142.71819309999998,0.645783679
2016-04-05,243,137.82487949999998,0.567180574
2016-04-06,224,142.166397,0.634671415
2016-04-11,211,134.32540519999998,0.636613295
2016-04-13,213,138.5132116,0.650296768
2016-04-18,219,138.45496540000002,0.632214454
2016-04-21,244,141.3571886,0.57933274
2016-05-05,245,146.75487180000002,0.598999477
2016-05-10,228,144.67128789999998,0.6345231929999999
2016-05-12,220,137.1412783,0.6233694470000001
2016-05-16,235,143.07750890000003,0.6088404629999999
2016-05-24,218,135.98617180000002,0.623789779
2016-05-26,221,139.49838380000003,0.631214406
2016-06-07,221,138.07723330000002,0.624783861
2016-06-16,234,141.8913053,0.6063731
2016-06-23,254,146.5280138,0.576881944
2016-06-27,221,130.5985412,0.590943625
2016-06-29,222,133.1013582,0.5995556679999999
2016-06-30,238,139.4518871,0.585932299
2016-07-04,220,136.2971123,0.619532329
2016-07-14,224,143.2270852,0.63940663
2016-07-19,225,131.61890590000002,0.584972915
2016-07-25,220,138.00134640000002,0.627278847
2016-07-27,229,141.0812461,0.616075311
2016-07-28,223,134.50876719999997,0.6031783279999999
2016-08-01,205,145.7358659,0.7109066629999999
2016-08-09,219,152.2326845,0.695126413
2016-08-11,236,155.4016126,0.65848141
2016-08-15,219,148.19652649999998,0.6766964679999999
2016-08-22,241,150.0232571,0.622503142
2016-08-29,217,146.2128072,0.6737917379999999
2016-09-05,231,155.99896189999998,0.6753201809999999
2016-09-14,227,162.346994,0.715184996
2016-09-19,223,148.2601892,0.664843898
2016-09-21,234,165.2565724,0.7062246679999999
2016-09-22,226,157.001056,0.6946949379999999
2016-09-27,221,155.3968791,0.703153299
2016-10-05,223,137.56416289999999,0.616879654
2016-10-11,237,145.1667122,0.612517773
2016-10-12,218,131.6020449,0.603679105
2016-10-19,241,157.7341609,0.654498593
2016-10-20,213,135.2852462,0.6351420010000001
2016-10-27,228,144.7343208,0.634799653
2016-11-02,230,139.5150792,0.606587301
2016-11-03,218,131.7979305,0.6045776629999999
2016-11-07,222,134.27717890000002,0.6048521570000001
2016-11-08,238,136.5795126,0.5738634979999999
2016-11-09,251,132.2001163,0.526693691
2016-11-16,226,133.99731450000002,0.592908471
2016-12-07,223,141.52842869999998,0.634656631
2016-12-13,215,136.7787884,0.636180411
2016-12-19,224,134.6016624,0.600900279
2016-12-20,212,133.32341090000003,0.6288840139999999
2016-12-22,236,140.5773019,0.5956665329999999
2016-12-28,219,137.2009193,0.626488216
2017-01-03,232,130.8937917,0.5641973779999999
2017-01-09,214,129.8832866,0.606931246
2017-01-10,211,132.8002856,0.62938524
2017-01-11,227,130.0580938,0.572943145
2017-01-23,216,138.4365628,0.640910013
2017-01-26,218,133.358519,0.611736326
2017-02-02,230,145.70952130000003,0.633519658
2017-02-08,225,136.445671,0.606425204
2017-02-09,216,130.0834638,0.602238258
2017-02-13,229,131.4465186,0.574002265
2017-02-15,226,139.0270174,0.615163794
2017-02-16,229,136.9415192,0.5979979000000001
2017-03-06,221,147.2250871,0.666176865
2017-03-07,222,148.9483521,0.670938523
2017-03-15,223,150.8412341,0.67641809
2017-03-20,225,150.95859430000002,0.6709270860000001
2017-03-23,229,153.5484955,0.670517448
2017-03-29,231,158.23612260000002,0.68500486
2017-04-06,211,157.8580571,0.748142451
2017-04-10,226,167.7080365,0.742070958
2017-04-19,221,163.3278908,0.73904023
2017-04-20,228,177.06007219999998,0.7765792640000001
2017-04-26,214,162.9872226,0.761622535
2017-04-27,238,173.4666236,0.72885136
2017-05-03,211,145.6190671,0.6901377590000001
2017-05-11,203,139.9270621,0.689295872
2017-05-16,218,148.7071842,0.6821430470000001
2017-05-18,228,136.61633999999998,0.599194474
2017-05-22,217,146.6941436,0.676009878
2017-05-24,234,151.2054531,0.64617715
2017-06-06,210,145.9066752,0.694793691
